frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff,label
frame_na~w~_0.9_1.05,14.779958942200407,0.0,-0.4001177872990021,420.1647615886526,372.2101459747337,47.95461561391886,9.823364817068892,3.220236371618853,6.603128445450039,NB
frame_sej_1.05_1.31,18.12318383588129,0.0,-0.9225363625333348,423.1171739812093,370.077627954164,53.03954602704533,65.85747863469933,34.05728205627415,31.800196578425187,NB
frame_si_1.31_1.5,25.412412469499174,0.0,-0.4012737704885501,412.140236683943,361.9429513956116,50.197285288331386,42.12637626793983,18.13701216722737,23.989364100712464,NB
frame_vo_1.5_1.66,8.55380419960116,0.0,0.0449333117043463,420.93024515911577,372.5894915773689,48.34075358174687,21.93587289289988,9.627137137618403,12.308735755281475,NB
frame_sejs_1.66_1.92,11.502439317960722,1.33,0.0,412.492384947632,359.1222364730014,53.37014847463058,12.789393092118502,5.805937373490906,6.983455718627596,NB
frame_an_3.25_3.77,50.94382495974517,0.0,-0.8281674793537251,417.785289224528,355.694673758819,62.09061546570899,60.94231479998786,14.638253217610751,46.30406158237711,NB
frame_ko_3.77_3.92,263.4003749821671,0.0,-0.5474269665381998,421.8550211706992,374.17386996667614,47.68115120402308,32.94219177698437,24.33220121980071,8.609990557183664,NB
frame_Je_3.92_4.08,26.75523231443526,0.0,-0.6254850645680642,413.216608985538,365.5670126366744,47.64959634886361,8.737275168945416,6.246613016838523,2.490662152106893,NB
frame_se_4.08_4.39,6.95771751697086,0.0,0.1171431803451172,423.8502631758295,368.53596004145976,55.314303134369766,3.771269924446528,2.1383192745114457,1.6329506499350828,NB
frame_ra~w~_4.39_4.54,362.0721704593487,0.0,-0.7088591941076153,416.76682800832464,370.8669498594115,45.89987814891316,39.01632010923515,19.607887744185746,19.408432365049407,NB
frame_na_4.54_4.77,41.72618756819367,0.0,0.8711168180898101,415.7945404610157,366.1319212183196,49.66261924269611,25.795099197236368,12.109183669808983,13.685915527427383,NB
frame_na_4.77_4.83,440.04716294273095,0.0,-0.8281674793537204,415.8614400556053,372.021722813168,43.8397172424373,13.81403190105334,3.849241193264561,9.96479070778878,NB
frame_E_4.83_4.97,17.490001683017027,0.0,-0.0382185288358467,422.72058416815145,375.0381250538933,47.68245911425811,30.67598432273121,9.143334380937205,21.53264994179401,NB
frame_po_4.97_5.03,474.9648969138887,0.0,-0.9423338186998884,405.6077711719312,362.80093335051663,42.80683782141455,26.96134865443821,10.51664359656536,16.444705057872852,NB
frame_ka_5.03_5.09,25.988209783004294,0.0,-0.8281674793537204,399.9830911556437,357.6026545328215,42.380436622822174,0.8845458766662091,0.4888173243997755,0.3957285522664335,NB
frame_e~j~_5.09_5.2,0.0394223980551089,0.0,-0.583961482237442,412.7709253397632,367.2339679933864,45.53695734637677,15.430024357771288,7.462963326723326,7.967061031047962,NB
frame_ki_5.2_5.32,5.912457988895284,0.0,-0.524294839390744,422.1573660559537,374.5598421421604,47.59752391379334,3.107523745971207,1.5604823065322648,1.5470414394389422,NB
frame_ew_5.32_5.38,18.1548797542728,0.0,-0.9225363625333446,421.0931485449581,376.0241556803535,45.06899286460464,1.631535580492141,0.9571038219415016,0.6744317585506394,NB
frame_e_5.38_5.46,24.705028152684747,0.0,-0.17990811762015,420.2832498585888,375.82269229608505,44.460557562503766,7.255248912662651,4.410823425032504,2.844425487630147,NB
frame_ra_5.46_5.53,338.4949448854189,0.0,-0.8281674793537204,413.1669371614404,369.38187081501314,43.78506634642724,56.19541789848017,36.6307546458678,19.564663252612377,NB
frame_es_5.53_5.63,349.0199755514483,0.0,-0.9225363625333446,404.64649772426833,360.4948301621293,44.15166756213904,52.495804933511295,20.227525856766817,32.26827907674448,NB
frame_tu_5.63_5.69,28.402097049363363,0.0,-0.6575969149730003,405.6932518245031,361.978843811633,43.71440801287008,12.193822092194663,4.421296337258951,7.772525754935714,NB
frame_da~_5.69_5.75,37.77010436747973,0.0,-1.01760060091622,399.4234350821014,356.4954733616514,42.92796172044996,27.311962355263645,11.03553634203506,16.276426013228587,NB
frame_tSi_5.75_5.93,7.439183229105168,0.0,0.8289369185333798,420.6479154676309,372.9721532688153,47.67576219881568,6.853690792893929,3.669329401967872,3.184361390926057,NB
frame_nujs_5.93_6.1,37.15874455948996,0.0,-0.3459345334467149,411.77140830298873,364.331225090306,47.44018321268271,25.78598184129152,12.578455165970029,13.207526675321487,NB
frame_es_6.1_6.16,36.84389443406147,0.0,-0.9225363625333316,396.2449752134125,356.53064062258545,39.71433459082709,5.617526252875834,4.06281430241593,1.5547119504599038,NB
frame_ta_6.16_6.28,36.69601432535261,0.0,-0.2971411364026165,419.9132855614714,373.2921815857833,46.621103975688186,19.102615724833758,12.654518675708816,6.448097049124939,NB
frame_dus_6.28_6.38,26.03736915116077,0.0,-0.6575969149730003,406.01929555793896,361.174674903339,44.84462065459997,117.3552184242771,68.22788623728066,49.12733218699644,NB
frame_u~_6.38_6.44,57.84813630315081,0.0,-0.3289634276883841,407.7919772295634,363.7305425128712,44.06143471669213,2.376592898712971,1.3027409130974092,1.073851985615562,NB
frame_ni_6.44_6.57,12.884200991159616,0.0,-0.1552316326841597,419.1443285943269,372.85257491901774,46.29175367530911,54.54514162983856,19.767917064683505,34.77722456515505,NB
frame_dus_6.57_6.71,5.738299311552026,0.0,-0.6575969149730003,418.13000118724807,369.47451746203706,48.65548372521101,10.888044716252494,4.676983435507594,6.2110612807449,NB
