frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff,label
frame_bo~_0.12_0.49,0.7547279970029308,0.06,3.2640277110467726,405.9421086080822,288.04927935058373,117.89282925749848,154.78591540368262,77.79713385100871,76.98878155267391,NB
frame_ko~_0.55_0.68,33.714792874434124,0.0,-0.0582862091257958,401.5160351198247,331.92638409877225,69.58965102105248,20.907823013023915,8.699272468457934,12.20855054456598,NB
frame_u~s_0.68_0.96,1.2377848096297726,0.0,0.4098002901965123,396.7255554531777,301.7912242582626,94.93433119491507,47.63546674067848,25.21032441653716,22.42514232414132,NB
frame_ta_0.96_1.27,25.13606551846459,0.0,1.862806799742776,396.75354601074326,294.1889669525598,102.56457905818348,32.005913050960885,19.90551255062786,12.100400500333024,NB
frame_pas_1.27_1.57,187.2591599162904,0.25,0.1541443380651575,396.6645383886415,294.9682895258498,101.69624886279168,503.7284915458682,212.1839086793717,291.5445828664965,NB
frame_ajs_1.82_2.03,4.302895990950844,0.0,-0.371597957835648,396.8317536407403,314.25790145698653,82.57385218375379,9.441515304290531,3.346429196035416,6.095086108255117,NB
frame_ve_2.03_2.21,2.6133375179737186,0.0,1.5860765573336049,403.8235752917112,324.80124384007104,79.02233145164018,33.86843076231256,7.779287849285907,26.08914291302665,NB
frame_zis_2.21_2.37,55.41866027566934,0.0,-0.525127667720744,391.90147519424255,320.41489448617585,71.4865807080667,196.3194322358085,136.04276427094578,60.27666796486275,NB
frame_E_2.37_2.44,40.0454887542339,0.0,-0.1911874597860378,405.0456778598712,350.22961081252066,54.81606704735049,6.283977298861373,2.000727334746273,4.2832499641151,NB
frame_la_2.44_2.62,35.07163740023546,0.0,0.5484510599907617,404.1585874376456,327.6890737142276,76.46951372341795,10.379609080798048,4.008453547164265,6.371155533633782,NB
frame_si_2.62_2.75,41.59664818607919,0.0,0.2011683105198878,395.4467514811107,329.56664630548136,65.88010517562935,24.31394171853077,15.78486594213149,8.529075776399281,NB
frame_ko_2.75_2.93,30.738762711073576,0.0,1.306483798621466,408.61265656526,329.8126572247648,78.79999934049516,47.746814129162,20.01172138463619,27.73509274452581,NB
frame_lo_2.93_3.19,34.65527144392604,0.0,3.524670815646509,402.9697341735617,308.8529507324066,94.11678344115506,35.71950142688917,18.276703802868155,17.44279762402101,NB
frame_ka_3.19_3.38,406.852162020576,0.1299999999999999,0.4170154860155632,396.072373730396,317.17446843959374,78.89790529080221,130.1005444341813,45.57918130760322,84.52136312657808,NB
frame_majs_3.51_3.77,18.60552110447412,0.0,-0.3715979578356451,405.5688738462596,310.26703241369535,95.30184143256427,18.54998547855581,10.410357498471145,8.139627980084668,NB
frame_ko~_3.77_3.96,57.85384111798277,0.0,0.8160069277617193,401.2127995130429,320.9493144099481,80.26348510309481,13.808549196779552,2.253842880335867,11.554706316443683,NB
frame_pa_3.96_4.12,37.33574070089077,0.0,0.0227087640899561,398.7902903317195,325.0330099100967,73.7572804216228,68.80830742971213,37.48388316400644,31.324424265705687,NB
frame_la_4.12_4.35,19.015901532207693,0.0,0.9427577819163572,399.6940776422435,311.4103246819725,88.28375296027093,22.706224471080333,15.090847056691842,7.61537741438849,NB
frame_vras_4.35_4.54,1.2030598172200655,0.0,-0.3715979578356509,396.80186794145607,317.752627506468,79.04924043498801,23.75948959785066,10.5681352935828,13.19135430426786,NB
frame_E_4.54_4.6,5.625412732962644,0.0,-0.3169233567624401,397.3878202526122,345.6382224788533,51.74959777375881,3.7172036459574542,2.3920045087245683,1.325199137232886,NB
frame_la_4.6_4.71,0.2862220496159864,0.0,-0.3715979578356509,397.41649463770887,334.6799854179277,62.73650921978117,6.486935289967249,3.516530721356673,2.970404568610576,NB
frame_na~w~_4.71_4.9,25.832779427862192,0.0,-0.3882834550923281,400.2398713854736,319.475354326473,80.76451705900064,59.11187244427987,26.30627317884705,32.80559926543282,NB
frame_si_4.9_5.08,130.94814473163825,0.0,0.0559091148717653,394.0402198281592,316.7118569369545,77.32836289120462,237.6069176074935,181.1522092032115,56.45470840428199,NB
frame_ko_5.08_5.24,16.02535819231082,0.0,1.060018574507576,403.0671401787778,328.7919674661072,74.27517271267061,73.36983562160287,41.14801206896749,32.221823552635385,NB
frame_lo_5.24_5.42,68.88119755497203,0.0,1.799414246849246,397.3040156222154,321.47977696250285,75.82423865971253,22.165698758928045,15.604860184745206,6.560838574182839,NB
frame_ka_5.42_5.49,63.67537075879508,0.0,-0.6344691057860479,391.44589074315536,338.21468983159104,53.23120091156432,13.692694198246896,4.935009943751794,8.757684254495103,NB
frame_poX_5.49_5.65,51.20110011995848,0.0,-0.6652379942896982,388.6783561532697,318.33764947335936,70.34070667991034,6.742877031898615,2.7043793761643258,4.0384976557342895,NB
frame_ki_5.65_5.73,4.1319705426693645,0.0,-0.5251276677207376,397.1865648821984,341.48043587422995,55.70612900796846,10.626110429423022,5.901887800126303,4.724222629296719,NB
frame_E_5.73_5.76,10.875467642993245,0.0,-0.6941310476916414,389.7524926672652,343.73001435618943,46.02247831107576,1.149729629206746,0.608388146842799,0.5413414823639471,NB
frame_la_5.76_5.85,5.746277334807502,0.0,-0.765904679761258,400.59017368331695,341.2257235281747,59.364450155142265,6.794218704991721,4.811564827227556,1.9826538777641645,NB
frame_au~_5.85_6.0,1.182063045098289,0.0,-0.7659046797612463,399.9619386814486,326.8661956510697,73.09574303037891,6.510866316412063,2.741789777613832,3.769076538798231,NB
