frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff,label
frame_pe_0.85_0.96,220.20541077307743,0.0,-0.3216125674757485,420.3313814159135,372.0958987281814,48.23548268773209,26.120451664725067,19.475061659662003,6.645390005063064,NB
frame_so_0.96_1.22,23.399085890597377,0.0,0.4306547694297452,422.781921576384,367.32306340229553,55.458858174088505,48.41130236630104,24.068523541878704,24.34277882442234,NB
frame_aw_1.22_1.38,4.4289307505482896,0.0,-0.314264346587042,422.64442690572906,372.4276687005956,50.21675820513343,6.420108166915185,3.7393096271723607,2.680798539742824,NB
frame_e~_1.38_1.41,5.233036584942624,0.0,-0.9674612490114656,401.0165782486016,357.9486746674625,43.06790358113909,4.265241308678725,1.9692104743174923,2.296030834361233,NB
frame_ta~w~_1.41_1.62,86.80651585337921,0.0,-0.166012845795175,425.5276392484594,373.1896238462328,52.33801540222663,263.2954510376044,203.94595065683592,59.34950038076843,NB
frame_e_1.62_1.72,320.482517468377,0.0,0.1968560551551699,421.0962287374372,375.3753508659377,45.72087787149951,67.67290399156013,38.04964465730882,29.62325933425132,NB
frame_si_1.72_1.84,65.4581518144355,0.0,-0.1086708741658806,419.43947104619366,371.1670702881573,48.272400758036326,211.59703750160384,126.47851052355615,85.11852697804768,NB
frame_E_1.84_1.9,311.39242276305407,0.0,-0.7768551113858737,425.7932301149991,379.73555179898335,46.05767831601571,40.99677916124318,25.63414472859222,15.362634432650964,NB
frame_u_1.9_1.97,50.888131044991496,0.0,0.0333180008558492,420.8593621385523,374.68484891953307,46.17451321901922,6.358882319669647,3.787309044468884,2.5715732752007625,NB
frame_pri~_1.97_2.2,15.440134202954084,0.0,0.3669213435687664,421.5104562758645,367.9556564439315,53.554799831933,83.89389687731193,40.28233288732588,43.61156398998605,NB
frame_mej_2.2_2.55,32.52449461942476,0.0,0.58570752212836,425.1680657063516,363.9865067086429,61.18155899770869,63.95221847157785,15.113799688415073,48.83841878316278,NB
frame_ru_2.55_2.61,95.1830523716709,0.0,-0.4513074661382607,417.9602763038534,372.25268169763206,45.707594606221335,157.81190657814625,103.56037761749457,54.25152896065168,NB
frame_i_2.61_2.73,112.81186499176184,0.0,0.2038570413185033,420.7688161928568,372.73932356635095,48.029492626505885,45.40091084195356,18.02041546839625,27.38049537355731,NB
frame_pri~_2.73_2.82,5.814983075406332,0.0,-0.7835947337231041,416.8666203947652,369.4414186154013,47.42520177936393,7.806658198945456,3.4062778584284388,4.400380340517017,NB
frame_si_2.82_3.0,28.07132955520396,0.0,0.4382529779317895,418.5502666468644,367.905260721434,50.64500592543038,50.12816788371225,32.83842976737077,17.289738116341482,NB
frame_paw_3.0_3.45,22.15745879503353,0.0,1.0216230662286527,426.5527155589591,359.9322891533982,66.62042640556086,49.88023457461199,11.39893740581482,38.48129716879717,NB
frame_mo_3.45_3.52,4.726707789276588,0.0,-0.6314982493431696,417.604646915774,372.7520201708591,44.85262674491486,20.09911362469504,13.44503004616493,6.654083578530106,NB
frame_tSi_3.52_3.98,9.082669592185084,0.0,2.6259483863224773,427.3561719591622,359.532708580395,67.8234633787672,64.75566069761891,12.093767566823658,52.66189313079525,NB
frame_vu_3.98_4.44,0.6397214287123631,0.0,4.273790837054293,417.55507645880334,352.287932073131,65.26714438567234,120.970615731278,20.314686052851897,100.6559296784261,NB
frame_pe_4.44_4.57,32.52588622147081,0.0,0.0672388994974399,426.2781667952854,377.0636636165888,49.2145031786967,14.859511873528303,8.290885496924147,6.568626376604158,NB
frame_lus_4.57_4.81,35.762766062148444,0.0,0.154474367604376,425.14979853437353,371.0327706622272,54.11702787214625,17.923971209189574,7.906367227840775,10.0176039813488,NB
frame_kwaj_4.81_5.29,50.519796557341465,0.0,0.8674822109037613,426.553471476413,359.0287313185425,67.52474015787044,432.13815469011774,350.6144737754404,81.52368091467739,NB
frame_pe_5.29_5.36,179.30403098845005,0.0,-0.5808468787912071,425.7171984802658,381.0027195236289,44.71447895663687,12.117770155556798,7.0736018541265935,5.044168301430204,NB
frame_lu_5.36_5.54,156.07274002453187,0.0,0.5179434678499591,424.8082944884507,374.99691424676433,49.81138024168638,41.47284283449381,21.929640064959077,19.54320276953473,NB
frame_kwaw_5.54_5.61,160.16861455082557,0.0,-0.3301510993897312,419.2361447876239,373.923493146314,45.312651641309856,12.3622376800609,4.031555298610442,8.330682381450458,NB
frame_ajs_5.61_6.11,3.6215842230569706,0.0,0.9188624960120608,428.06228106869577,357.3504210875725,70.71185998112327,627.431105735843,475.242011798876,152.18909393696686,NB
frame_pe_6.11_6.23,35.7031201617377,0.0,-0.0623782561602871,426.1276320872765,377.9425174587292,48.185114628547296,10.681853062913262,2.933802591888764,7.748050471024499,NB
frame_so_6.23_6.41,82.98061578063968,0.0,-0.7377135512204589,422.19387852176,370.46544172509886,51.72843679666119,114.97208482850228,74.5140811588893,40.45800366961298,NB
frame_as_6.41_6.69,7.802178230301024,0.9699999999999998,0.3022990747125088,427.678616040972,370.0578549270791,57.62076111389291,13.244063792700956,3.651726698917372,9.592337093783584,NB
frame_E_7.66_8.17,15.7406541801372,0.0,1.5433979867798782,425.6353172213302,356.0854724266692,69.549844794661,13.748855051925544,4.694982451011981,9.053872600913564,NB
frame_de_8.17_8.28,5.171745154742865,0.0,-0.0623782561602871,427.8840182183865,379.3985317954945,48.485486422892,8.033796304218384,4.083753252117731,3.9500430521006535,NB
