frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff,label
frame_kwa~_0.0_0.09,164.98683206389106,0.0,-0.6574990386035166,388.887969383559,343.89890636169866,44.98906302186032,26.94149368879749,12.861309331786217,14.08018435701127,NB
frame_du_0.09_0.16,150.0526875496348,0.0,-0.359274912609758,402.6027840160315,358.6113430204056,43.99144099562591,30.146903937493832,16.363546160589436,13.783357776904396,NB
frame_tra_0.16_0.25,,0.0,-0.8292313531047846,385.6446733056674,342.8159810052172,42.82869230045026,,,,NB
frame_ba_0.25_0.31,94.18948248394022,0.0,-0.829231353104785,387.1188421643108,344.2500357538858,42.86880641042495,102.79933946091026,39.61116053261492,63.18817892829534,NB
frame_La~w~_0.31_0.4,129.0445652482794,0.0,-0.6574990386035169,387.3180014255236,346.6368412974171,40.681160128106455,159.99976070701638,109.80071106044578,50.19904964657061,NB
frame_e~j~_0.4_0.46,147.51394625553104,0.0,-0.9395288899096912,385.4754844644961,342.9887824994173,42.4867019650788,33.86746510633432,21.97881459638603,11.888650509948292,NB
frame_fiw_0.46_0.55,79.41621348366616,0.0,-0.5348947807943083,372.75349383957166,332.3162920067273,40.43720183284444,2.6658766049233407,0.5863567387072806,2.07951986621606,NB
frame_mi_0.55_0.61,166.19296787056123,0.0,-0.5348947807943083,382.9560887106333,340.7531425234227,42.20294618721061,30.471719723317516,16.733975925594343,13.73774379772317,NB
frame_fa_0.61_0.67,142.28472368026064,0.0,-0.8292313531047842,402.3985876048317,357.50019409273096,44.89839351210071,18.787130655522414,7.516792857393241,11.270337798129177,NB
frame_la_0.67_0.73,16.82297796766852,0.0,-0.8292313531047842,403.7353373312411,360.1211655946364,43.614171736604646,2.0180874672517746,1.0067159890205346,1.01137147823124,NB
frame_a_0.73_0.76,14.33278122716817,0.0,-0.8292313531047842,368.583551131174,330.7292931727376,37.85425795843645,0.4261195793702939,0.2071564425265819,0.2189631368437119,NB
frame_se_0.76_0.85,74.80838171894823,0.0,-0.6646368924197541,407.8828533396397,362.4623179536708,45.42053538596895,6.257906152831311,2.03520247310621,4.2227036797251,NB
frame_Jo_0.85_0.93,70.78496103729401,0.0,-0.3235834796107542,411.81697008954274,367.4719417373449,44.34502835219786,6.748347622829101,1.9792091581419984,4.769138464687103,NB
frame_ra_0.93_1.25,19.84172145889059,0.0,2.664144870640798,416.7486650593468,353.5259765217064,63.22268853764041,34.97635603209096,27.74955438787785,7.226801644213111,NB
frame_a_1.25_1.28,13.346192216724605,0.0,-0.8292313531047842,398.48354740579487,356.3301067300312,42.1534406757637,1.838566401569068,1.0688155768364709,0.769750824732597,NB
frame_Sa_1.28_1.56,11.94120549539292,0.0,0.2456536388169342,413.078424396937,356.6074309460526,56.47099345088441,20.72926223027102,10.619035277673902,10.110226952597117,NB
frame_ki_1.56_1.68,0.138316458347731,0.0,-0.4153520169935295,418.07212430759046,367.68406060619697,50.38806370139349,5.802366929469656,1.7755677084764727,4.026799220993183,NB
frame_ow_1.68_1.85,12.475319851039645,0.0,1.5397249890988418,418.129286563289,366.27978455952064,51.84950200376835,10.824036977175666,5.971438479252697,4.852598497922969,NB
frame_vi_1.85_1.94,24.124447119622005,0.0,-0.5348947807943083,411.8794609595757,364.74304367174864,47.1364172878271,11.050354954519264,5.599945005530998,5.450409948988266,NB
frame_aw_1.94_2.03,29.119690954849432,0.0,-0.4261494811341398,417.2289411549167,370.9231737494429,46.30576740547377,7.427999369784885,4.111544190758423,3.3164551790264625,NB
frame_gu~_2.03_2.2,16.058643272676193,0.0,0.4040246808821998,412.6588419025864,361.7473655381541,50.91147636443225,18.482776993850536,4.320199688396684,14.162577305453851,NB
frame_ma_2.2_2.5,47.02022960029666,0.0499999999999998,2.395423622660368,412.0803153992042,353.25049508182883,58.82982031737538,139.4514544651475,23.01752910494406,116.43392536020345,NB
frame_e_2.55_2.65,17.47018754409453,0.0,0.7050008416249133,416.7391069601477,369.0650843679192,47.67402259222848,14.047278959265723,4.3859198431891,9.661359116076625,NB
frame_vo_2.65_2.84,7.761705561450867,0.0,0.7411642167947233,419.57640424172894,364.81437656441074,54.76202767731826,18.272119571349577,7.56032582160222,10.711793749747358,NB
frame_lu_2.84_2.96,2.277660917545319,0.0,-0.2412025262812156,417.130747648249,368.390153433134,48.74059421511504,9.031007855418435,2.9241629655905683,6.106844889827869,NB
frame_sa~w~_2.96_4.06,0.3169000841836009,0.0,8.82547060362429,415.45709082649967,300.47291096349886,114.98417986300076,56.38600404754144,33.45379666818397,22.932207379357465,NB
frame_ow_4.06_4.15,108.38477730356809,0.5599999999999996,-0.0573965555093714,395.8351170556345,349.85067784326003,45.98443921237447,0.4038762158224784,0.2878990931234853,0.1159771226989931,NB
frame_sej_4.71_4.88,177.62783357734423,0.0,0.1180132413200427,410.29964084935466,358.3784061935341,51.92123465582057,274.94745970135693,96.5848172617367,178.3626424396202,NB
frame_la_4.88_5.02,4.784116422449102,0.0,-0.2917888571439339,417.1050318208703,366.2659501366723,50.83908168419799,17.857590179043427,9.317464694370443,8.540125484672984,NB
frame_ow_5.02_5.08,7.580515593040758,0.0,-0.85595732781349,405.42081616274345,360.9154145028315,44.50540165991197,9.037478279498032,2.9180007558758803,6.119477523622152,NB
frame_ki_5.08_5.17,6.852843578813975,0.0,-0.2958092531927534,388.8959117023869,345.75093600313164,43.14497569925527,2.766879345229796,1.162145931070171,1.6047334141596252,NB
