frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff
frame_kwa~_0.37_0.5,,0.0,-0.7089098539403763,384.0791185050262,337.3683842773859,46.71073422764027,70.57567821119673,25.791596933053256,44.784081278143475
frame_du_0.5_0.57,,0.7900000000000001,-0.3557736082588529,387.4499334054856,343.23997431447697,44.20995909100861,30.00173735946983,10.413253393881519,19.58848396558831
frame_ew_1.36_1.42,49.332480187731534,0.0,-0.8591624401990586,419.8452700726534,372.92270449859365,46.922565574059774,3.1072033479902643,2.0863222846207066,1.0208810633695578
frame_e_1.42_1.46,53.61603682892044,0.0,-0.5673257268967647,411.2499182567921,366.17765024184615,45.07226801494596,3.5396970919212265,1.9626980302726622,1.5769990616485643
frame_ra_1.46_1.71,231.48241318021746,0.0,1.765240108837114,415.91434321058733,354.07625206535334,61.83809114523399,452.96472992526196,239.1683037513385,213.79642617392344
frame_noj_1.71_2.02,18.539434243134878,0.0,0.8927006510984963,412.7331442037987,344.80487954119144,67.92826466260726,48.011076137894705,19.558070783697275,28.45300535419743
frame_vu_2.02_2.3,64.99628866926705,0.56,2.021004449485632,395.97855658752326,333.9646021529917,62.01395443453163,41.54452385472912,22.85400809567011,18.69051575905901
frame_a_2.86_2.89,56.99298766046451,0.0,-0.7341381125552264,380.9939604688975,340.4367108821681,40.55724958672943,2.097820030693825,0.5489791337190866,1.5488408969747383
frame_dEjs_2.89_3.34,16.673226276496564,0.0,0.5151244501350183,408.8283494414136,332.8940079073416,75.93434153407202,27.336747071573612,12.538083750749081,14.79866332082453
frame_o~_3.34_3.46,15.389696905342888,0.0,0.570318718757532,403.2935952581882,351.8348979201884,51.45869733799981,6.206186749884637,1.9988760150709624,4.2073107348136745
frame_zi_3.46_3.58,19.651817461359983,0.0,-0.4748232414245126,399.10401576217157,348.81075495476887,50.2932608074027,7.052250956741915,3.430181072119055,3.62206988462286
frame_a~_3.58_3.67,16.411549856099327,0.0,0.23192476402792553,402.47354074630005,354.34843132452323,48.12510942177681,4.713585303968898,1.87052059475252,2.843064709216378
frame_nus_3.67_3.8,19.753587798451917,0.0,-0.5718443407810718,399.93426244807733,349.54904600888324,50.385216439194096,10.818445738704,4.976966976255696,5.841478762448304
frame_at_3.8_3.98,26.96032828329085,0.0,0.9841844146520088,400.99334636790564,348.15021911251205,52.8431272553936,8.981715589781345,5.757918431655455,3.2237971581258904
frame_rajs_3.98_4.39,11.466986046012096,0.1200000000000001,2.5462958030222116,413.97101958820724,337.3852329685068,76.5857866197004,90.21946981357304,32.70350858072743,57.51596123284561
frame_i_4.51_4.68,8.902378437494775,0.0,1.532313713885336,417.27394519129746,360.80756217383504,56.46638301746242,94.20351850735071,22.74753738876106,71.45598111858965
frame_a_4.68_4.71,14.724292555495111,0.0,-0.7341381125552264,402.863201855812,358.68104839831767,44.18215345749434,3.6967466205250616,1.8373659183612574,1.8593807021638042
frame_mus_4.71_4.95,11.92187536191392,0.0,0.07636785678559209,408.54377709155654,346.52777575168204,62.01600133987449,33.27869017189994,16.11841713340729,17.160273038492647
frame_a_4.95_4.99,15.84894062892846,0.0,-0.5779269737182082,409.32454710342193,364.27660905494605,45.047938048475885,1.7519507051448642,0.8909521101253688,0.8609985950194954
frame_w_4.99_5.05,21.231589057297057,0.0,0.07636785678559209,406.1394720756999,360.2220170832603,45.917454992439616,3.966547633696507,2.200326774459427,1.7662208592370803
frame_te_5.05_5.22,208.7867099657468,0.0,-0.8591624401990715,410.346796807541,354.69193300945767,55.65486379808334,538.9576571663044,308.74159077708055,230.2160663892239
frame_a_5.22_5.37,163.86835319749116,0.0,1.140395553489034,414.3071963282699,360.6724976647974,53.634698663472534,543.4183053273998,376.7252266407311,166.69307868666874
frame_tru_5.37_5.64,147.5106350159561,0.5200000000000005,0.5085093218300539,395.5043070625528,334.56210753642233,60.94219952613048,563.7406793328176,375.39496420695383,188.3457151258638
frame_kwa_6.16_6.41,346.3975733407244,0.0,0.5155509981409472,415.2037414911652,352.47813834158023,62.72560314958497,567.1622956371364,264.6971692509071,302.46512638622926
frame_zi_6.41_6.61,8.73632644927332,0.0,-0.04472246528668334,396.42197388478786,342.8833134748388,53.538660409949046,31.10746269448184,21.58149852959781,9.52596416488403
frame_ki_6.61_6.77,27.776901922086083,0.0,-0.33145631604525316,394.94943356995407,342.71485778635656,52.234575783597506,2.7295777154995875,1.395449326194779,1.3341283893048086
frame_sis_6.77_6.87,25.779959258124748,0.0,0.0,394.9855479354766,348.57989871150545,46.405649223971125,13.908813612228911,8.118195372855865,5.790618239373046
frame_te_6.87_7.06,310.9356551350771,0.0,-0.4748232414245126,405.2804972992279,349.43514943463975,55.84534786458812,410.99052258716097,84.26648845636214,326.7240341307988
frame_ma_7.06_7.2,16.294221256991747,0.0,-0.26550469604415783,402.97030411914005,351.94095267719734,51.02935144194271,7.489895136726091,4.903057134577111,2.58683800214898
frame_tSi_7.2_7.3,622.3374779112091,0.0,-0.4748232414245126,393.99177829770093,347.6679046493809,46.323873648320046,10.246375784157976,4.63980002566268,5.606575758495296
frame_ka_7.3_7.41,145.88675580722608,0.0,-0.42171583488118997,399.48571142690935,353.4290890875504,46.05662233935897,16.671536189025687,9.9191198042422,6.752416384783487
frame_me~_7.41_7.57,10.038748748862332,0.0,0.06457512286563571,404.7437590353185,350.92884575314474,53.814913282173734,45.85444469138899,17.84066754935381,28.01377714203518
frame_tSi_7.57_7.68,23.860495746048855,0.0,-0.4748232414245253,401.70138794593424,352.6449246952038,49.05646325073042,47.62111095500339,38.68363546023619,8.937475494767199
frame_a_7.68_7.82,166.13059265402077,0.0,0.9841844146520158,398.05496321637906,349.37113952060645,48.68382369577262,518.0197953672579,332.3034774656433,185.7163179016146
frame_po~_7.82_7.98,2.3902341194090866,0.0,0.570318718757532,406.79661333722765,354.0724777864175,52.72413555081016,17.503868944888666,8.368098294843605,9.13577065004506
frame_tu_7.98_8.1,57.80604384347639,0.0,0.29243858930783256,389.9141980021908,340.4822993450215,49.43189865716931,92.10127117236712,57.75931645822071,34.34195471414641
frame_dZi_8.1_8.2,14.87718943366042,0.0,-0.04472246528670881,404.4005451023498,355.7203070413682,48.680238060981594,6.440595959514653,2.1493194421707926,4.29127651734386
frame_ajs_8.2_8.36,33.5068155677037,0.0,-0.26550469604415783,401.65157327870736,348.90897611043346,52.7425971682739,13.56916442502515,7.964163163237615,5.605001261787535
frame_ve_8.36_8.55,3.6164473079909385,0.0,2.934714832730683,406.1511155258578,351.30573154864487,54.84538397721292,21.54362291196921,6.956646253871298,14.58697665809791
frame_zis_8.55_8.72,9.394962244250053,0.0,-0.33145631604525316,396.3812501020163,343.569533870808,52.811716231208266,12.854796104892046,6.436923873291278,6.417872231600768
frame_op_8.72_8.86,8.810513970538636,0.0,-0.2838065653782336,401.19209759492776,351.898057804397,49.2940397905308,3.1945416326168186,1.4634354530993505,1.731106179517468
frame_taX_8.86_9.11,513.8136647034992,0.0,0.6717621369779793,405.9511797331361,346.2326913037306,59.718488429405454,124.5386790377313,38.19285867289477,86.34582036483653
frame_pe_9.11_9.18,7.200338470773573,0.0,-0.8591624401990715,401.1687883176771,355.12936808474956,46.03942023292757,26.3822597878804,18.229356941857816,8.152902846022585
frame_lu_9.18_9.25,24.4136067132589,0.0,-0.571844340781091,397.088107199477,351.21604277023545,45.87206442924156,2.547300197397149,1.7601364321667035,0.7871637652304457
frame_si~_9.25_9.38,241.6393443826324,0.0,-0.860709004014708,395.10243068795774,346.7056648297811,48.39676585817665,556.0749190365776,274.1184099601148,281.95650907646285
frame_ne~_9.38_9.54,20.817227371390715,0.0,0.06457512286563571,411.24610078207013,356.5113011302483,54.734799651821845,47.426417021948765,13.503991378977105,33.92242564297166
frame_ma_9.54_9.79,8.724163167595265,0.40000000000000036,1.2966066923260244,404.25485084328176,344.6130785132178,59.641772330063986,22.720047841572523,13.233535026039078,9.486512815533445
frame_poX_10.19_10.32,10.852835010360849,0.0,-0.2838065653782336,408.6715112460945,359.7233859805133,48.94812526558121,4.740253241877326,1.7038334328901499,3.0364198089871763
frame_faw_10.32_10.58,4.371400128715351,0.0,-0.10929355720713962,415.92756576134894,352.87918207572665,63.0483836856223,15.681200485961256,8.395952836000589,7.285247649960667
frame_ta_10.58_10.69,8.941795189247017,0.0,-0.5779269737182221,393.07545473388524,345.46452574424825,47.61092898963699,43.218777825963116,26.6644800098058,16.554297816157316
frame_dZi_10.69_10.82,7.936148167115817,0.0,0.5287452362304054,401.1003976821383,352.79699404698545,48.30340363515285,17.76917167622443,8.813890717934328,8.955280958290103
frame_pe_10.82_11.01,15.980802759222712,0.0,2.059204692823789,410.87351913023446,354.4059811086352,56.46753802159924,7.714417862481525,4.696002873029414,3.0184149894521113
frame_sas_11.01_11.18,178.73381595026717,0.7100000000000009,0.0,409.16918568033685,355.3337070256869,53.83547865464993,502.5281936304087,303.85800680533254,198.67018682507614
frame_no_11.89_12.14,11.82855952525523,0.0,2.461376939734129,408.904125639841,347.5346724063425,61.36945323349852,11.715014470273132,4.243683169947701,7.471331300325431
frame_vas_12.14_12.32,23.570696714690428,0.0,-0.5779269737181943,400.2863708237115,346.35725749208655,53.92911333162493,10.079707107825925,4.179920825056456,5.899786282769469
frame_e~j~_12.32_12.38,19.79297199273769,0.0,-1.1475173860580834,393.713611089192,349.31555498708167,44.39805610211033,7.17963157181363,3.98508684171874,3.19454473009489
