frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff
frame_nu_2.46_2.54,16.497561595795048,0.0,-0.8094691394443702,419.9101670257555,371.5485151704489,48.36165185530655,44.19875715403995,19.817333223372202,24.38142393066775
frame_e~_2.54_2.62,17.00388516128112,0.0,-0.3305089752977194,421.38743071637623,373.34787298047263,48.0395577359036,14.200438289644637,4.5016158327020435,9.698822456942594
frame_ta~_2.62_2.95,45.49869227775167,0.0,1.1918553704047086,420.07418287505914,357.5289833340776,62.545199540981514,81.66203092881699,40.528286598255704,41.133744330561285
frame_tu_2.95_3.29,60.18738549039443,0.0,3.1881879410006486,418.1714161708215,356.4277912693946,61.74362490142687,101.0093553905773,28.314164371620507,72.69519101895679
frame_u_3.29_3.42,72.81039891073075,0.0,0.9286426346621537,414.8294264946112,365.1145508699585,49.714875624652734,42.806583215982755,22.591104673726733,20.215478542256022
frame_gos_3.42_3.72,8.339665539300029,0.0,1.0633443883539069,418.8563119986336,358.1850716266591,60.67124037197442,297.3874106948336,59.49531966885513,237.89209102597846
frame_tu_3.72_3.82,33.25054816080092,0.0,-0.28803560721241456,412.77727858943354,365.32596050713624,47.45131808229729,100.46272056190404,78.6521651874084,21.810555374495635
frame_dZi_3.82_3.94,72.82164425830706,0.0,-0.41477352929420147,412.3627123035015,363.4154859778636,48.94722632563787,23.88073634891981,15.203522021189798,8.677214327730013
frame_mokketS_3.94_4.52,26.685635749910773,2.420000000000001,0.8815085449922675,417.89298136739825,336.32849221157113,81.56448915582712,158.55353876642633,75.07185101860978,83.48168774781655
frame_e~_6.94_7.02,20.097230960051547,0.0,-0.33050897529773526,421.09868767626574,373.59850121610134,47.50018646016434,10.70942444146226,5.169364986609196,5.540059454853065
frame_ko~_7.02_7.29,26.83357910858706,0.0,0.8212414706062942,423.7694609690682,363.5843778181213,60.185083150946866,59.49222858433927,22.892888095576836,36.59934048876244
frame_tra_7.29_7.72,36.43690843656276,0.0,1.680965106992849,421.9595310413074,350.78496617543317,71.17456486587423,79.3924305304929,17.303048243890714,62.08938228660219
frame_va_7.72_8.0,91.60708297189657,0.75,1.1971169945493036,420.9711223395138,361.0890696693328,59.882052670181,56.45817732051253,30.365583132764186,26.092594187748347
frame_a~_8.75_8.8,32.37836956331705,0.0,-0.5883399673690666,405.7936554563628,361.7516594479932,44.04199600836961,114.79305861596978,60.07448654839885,54.71857206757093
frame_tSis_8.8_9.03,40.368260304020794,0.0,-0.18910198393160538,417.739583096958,361.588549134377,56.151033962580925,234.83541486581575,148.58915493968766,86.24625992612809
frame_du_9.03_9.1,35.53813840598485,0.0,-0.8094691394443856,414.73154128164776,367.67316690020846,47.05837438143931,9.737403273867443,2.242027709024029,7.495375564843414
frame_i~_9.1_9.16,45.0463429737234,0.0,-0.6760427107425696,412.3025914417458,366.4045772635019,45.8980141782439,16.922255130808168,6.55956094874341,10.362694182064757
frame_pre_9.16_9.33,9.938934290359867,0.0,-0.2519578711396046,416.68668048400804,364.58443890478543,52.10224157922261,258.10900892128495,189.3730428665841,68.73596605470084
frame_si_9.33_9.47,35.479532305948965,0.0,-0.5276093019754845,417.3442214948268,366.06332887668964,51.28089261813716,41.952010617550286,25.0564383481898,16.895572269360486
frame_o_9.47_9.52,62.956746450607454,0.0,-0.5731782019008311,410.9903955171262,367.0807193869325,43.9096761301937,2.3829084684422526,1.4458469551164512,0.9370615133258013
frame_niz_9.52_9.79,4.415121461939123,0.0,-0.07626621125031233,417.45147183071225,356.13323272392785,61.318239106784404,81.76300853123854,28.309754501469115,53.453254029769425
frame_mu_9.79_9.91,4.433722759851577,0.0,0.059586747608891745,413.0512386253409,364.5798922354732,48.471346389867676,29.369096380091264,14.071566957665453,15.29752942242581
