frame,f0_avgutt_diff_2,p_dur,n_dur,e_range,e_maxavg_diff,e_avgmin_diff,f0_range,f0_maxavg_diff,f0_avgmin_diff
frame_dZi_0.1_0.19,23.180514872155015,0.0,-0.3102549482104366,390.84716206671203,347.5420210361973,43.30514103051473,18.181053282606513,4.486529351775516,13.694523930830997
frame_ma_0.19_0.3,16.68002651105334,0.0,-0.7505360479541743,393.75872896729766,346.0236220169208,47.73510695037686,7.29229722709627,2.16504051759901,5.12725670949726
frame_Ja~_0.3_0.73,16.525327264455825,0.19000000000000006,0.012772736230450816,395.7483777356182,327.6240531698015,68.12432456581661,127.84258771799992,91.60793672746462,36.2346509905353
frame_ew_0.92_1.19,9.261927106421695,0.0,0.05750898882288691,391.65100790926454,336.32997383476976,55.321034074494776,146.47133735345216,26.79562054826627,119.67571680518589
frame_na~w~_1.19_1.47,36.49736122045269,0.21999999999999997,-0.8924949441006865,386.95136166409185,328.9200960536277,58.031265610464175,122.84334312082001,33.68751561697161,89.1558275038484
frame_kos_1.69_1.91,50.036190906221464,0.0,-0.46536910511817425,388.3880498932261,337.1261685300454,51.26188136318069,150.03488883931027,76.77893385123059,73.25595498807967
frame_tu~_1.91_2.02,52.700960674095285,0.0,-0.07152982172458022,396.67207524813114,348.8850204860446,47.78705476208654,19.450381490262345,7.353479929271714,12.09690156099063
frame_mu_2.02_2.14,9.939310830300826,0.0,-0.08357494273702645,388.05567195453153,342.0302347776276,46.02543717690395,51.6937092062812,21.81969790404395,29.87401130223725
frame_to_2.14_2.25,1.7452190466647437,0.0,-0.28531240198979246,392.4479310161221,344.86887017199,47.57906084413207,22.254555635779155,16.007557813294653,6.246997822484502
frame_maX_2.25_2.54,3.569789024176089,0.0,0.22508399391052086,404.20265745200754,346.3989340595747,57.80372339243286,7.193181336832225,2.3781676963901077,4.8150136404421175
frame_na_2.54_2.86,21.858850916054934,0.0,1.200704035775211,404.7702518668278,345.32552145265555,59.44473041417223,121.89751870727213,72.70708864295563,49.1904300643165
frame_da_2.86_2.92,18.271159300779942,0.3700000000000001,-0.8480980521406454,381.51209116037427,341.15854807658206,40.353543083792204,177.92941489167652,88.50990028654084,89.41951460513567
frame_a_3.29_3.32,24.505574836567348,0.0,-0.8480980521406454,386.4564496249909,344.09957958001917,42.35687004497174,4.233482689670069,2.169958187040436,2.063524502629633
frame_na~w~_3.32_3.46,24.260720993357637,0.0,-0.8924949441006836,394.5674499170337,346.04784059498843,48.519609322045255,16.509708797006766,9.447675461888224,7.062033335118542
frame_seX_3.46_3.62,24.887955151873484,0.0,-0.9479067812878432,403.01835346602195,352.3831049122743,50.63524855374766,21.909304824296413,17.047201294460365,4.862103529836048
frame_u~_3.62_3.65,21.74991254148776,0.0,-0.564030233598737,386.00345704159315,344.6606717545054,41.342785287087736,12.344835368820384,7.737313488874207,4.607521879946177
frame_ma_3.65_3.75,33.03626024141042,0.0,-0.7505360479541737,394.8962937274747,350.28221325411073,44.61408047336403,23.987161667402916,16.347144129343633,7.640017538059283
frame_Si_3.75_3.91,8.440226155554114,0.0,-0.48762073995427846,397.7546776582504,346.9054426289299,50.84923502932048,29.14868083456787,18.79780741006931,10.350873424498559
frame_ka_3.91_4.0,22.075156055775068,0.0,-0.8480980521406454,396.2252671939179,351.52149409103293,44.70377310288495,5.836446092151931,2.5680572578069416,3.2683888343449894
frame_ra_4.0_4.06,77.18501840288205,0.0,-0.8480980521406497,382.9797964846184,340.9847415193285,41.99505496528991,109.5403181738866,53.00329459158506,56.53702358230154
frame_dZi_4.06_4.14,126.35778868038504,0.0,-0.5763036358262055,379.58752070422287,337.12424176870763,42.463278935515234,15.909446471153622,8.745247618524346,7.164198852629276
frame_ka_4.14_4.32,122.30731621737799,0.0,0.029959985537581953,391.70049474594333,342.4167453124562,49.28374943348712,27.116608495818227,16.459416385443774,10.657192110374453
frame_fE_4.32_4.48,36.99757356599224,0.0,-0.18015276873340494,405.1013893669346,353.11892625291034,51.982463114024256,37.234050405658905,30.814733362790037,6.419317042868869
frame_nE_4.48_4.59,40.67556279195378,1.2700000000000005,-0.8922860663149175,394.35596085699757,348.46822681399937,45.887734042998204,31.28002024904822,22.00163754928488,9.278382699763341
frame_majs_5.86_6.6,6.2370863199110715,0.3100000000000005,1.9812000692669625,400.9082646540513,313.468678301393,87.4395863526583,249.06979708623226,142.40379760166542,106.66599948456684
frame_a_6.91_6.94,5.654694731936615,0.0,-0.8480980521406409,390.6970555411385,348.67774001078294,42.019315530355584,1.3410187827744835,0.6486453011478375,0.692373481626646
frame_w_6.94_7.02,7.820400419275671,0.0,0.025193605926513242,404.55142389290916,358.84982799708587,45.70159589582329,1.5660653507048607,1.2967389429420848,0.26932640776277594
frame_aw_7.02_7.2,5.5011533069013865,0.0,-0.8480980521406409,406.3116513304949,353.69664304040464,52.6150082900902,14.100789555932408,7.478905112793399,6.62188444313901
frame_mo_7.2_7.47,5.073377439644332,0.0,1.875368035550781,404.552834625992,347.15697636034497,57.39585826564701,57.6896651027416,43.197334066718014,14.492331036023586
frame_su_7.47_7.53,12.025646581453401,0.9300000000000006,-0.5186491373912335,385.2739518343672,341.7226438063348,43.551308028032395,30.239610478440568,18.193701130226316,12.045909348214252
frame_ajs_8.46_8.64,81.01045473355504,0.0,-0.06760201864889401,395.95223967981144,346.66084841370724,49.2913912661042,38.72615417705504,17.83851610423494,20.887638072820096
frame_Re_8.64_8.76,53.828058081254255,0.0,0.05750898882288505,400.415084158821,354.2476418313892,46.167442327431786,51.11002360534678,13.26816235978822,37.84186124555856
frame_fej_8.76_8.93,52.39785596441345,0.0,-0.6127681912509487,406.02065980852143,355.2845135420391,50.73614626648231,68.881760007173,32.49474955009981,36.38701045707319
frame_so~j~s_8.93_9.01,52.04307706783732,0.0,0.0,381.50178590994904,338.0797430708843,43.422042839064716,21.81604349814762,10.517100099443269,11.298943398704353
frame_ko_9.01_9.38,46.92967882010737,0.0,-1.0457343373283543,402.5224770440641,338.2286053261344,64.29387171792968,279.78171952455,73.445838747099,206.335880777451
frame_mu~s_9.38_9.76,67.78587426628133,0.0,0.814970919648896,406.7903330201975,344.133151085711,62.657181934486516,51.176587889305495,23.5246480925573,27.651939796748195
frame_nE_9.76_9.94,65.43389636553644,1.3499999999999996,-0.18015276873341285,411.5274072584917,358.3041897493806,53.223217509111066,73.47126653447486,28.976458365345536,44.49480816912933
frame_a_11.29_11.41,5.672223313749868,0.0,0.02995998553759062,404.5070054030854,356.77622996811164,47.73077543497374,2.7847470191464083,1.2603928071486905,1.5243542119977178
frame_Rojs_11.41_12.07,9.72654957718649,0.0,5.296445394990022,404.5883201490718,321.7848699568125,82.80345019225939,47.19311943239609,13.735830422963772,33.457289009432316
frame_bi_12.07_12.56,18.46058059941751,0.0,3.059695094922576,398.59673265376955,328.46592659300705,70.1308060607625,145.18450418203597,34.58712767604831,110.59737650598765
frame_fi_12.56_13.04,25.344172506929,0.20000000000000107,3.1483779907944793,400.79371567935584,329.2110506318286,71.58266504752726,222.86601970648834,128.15745491969818,94.70856478679016
frame_veR_13.24_13.49,3.587143793181724,0.0,0.2250782838413658,403.96216383495437,348.2135201537771,55.74864368117727,26.1375386213017,10.716956657178741,15.42058196412296
frame_du_13.49_13.8,17.90542448451859,0.0,1.5479532872162527,407.097168189443,345.4684613468386,61.6287068426044,83.42581515091766,26.63889663308956,56.7869185178281
