TB Hits,353
NTB Hits,1268
Precision TB,0.11
Precision NTB,0.4
Recall TB,0.3
Recall NTB,0.27
Accuracy TB,0.09
Accuracy NTB,0.19
F1 TB,0.16
F1 NTB,0.32
SER TB,3.11
SER NTB,1.14
